epoch,e_loss,kl_loss,learning_rate,m_loss,recon_loss,total_loss,unweighted_loss,val_e_loss,val_kl_loss,val_m_loss,val_recon_loss,val_total_loss,val_unweighted_loss
0,498.07159423828125,2.332810640335083,9.999999747378752e-05,0.9148182272911072,494.5631103515625,517.92431640625,0.23002852499485016,440.0672607421875,2.189602851867676,0.6677171587944031,437.1626892089844,459.01885986328125,0.09017466753721237
1,440.3559875488281,1.804177165031433,9.999999747378752e-05,0.6185910105705261,437.8398132324219,473.55438232421875,0.08806083351373672,431.2904968261719,2.1723098754882812,0.5624110698699951,428.5332336425781,465.6675109863281,0.055470943450927734
2,437.15509033203125,2.054476261138916,9.999999747378752e-05,0.5361573696136475,434.48199462890625,485.0911560058594,0.06485088169574738,426.3814697265625,2.1460604667663574,0.5053635239601135,423.7232971191406,472.3789978027344,0.0393059141933918
3,435.43804931640625,2.341404438018799,9.999999747378752e-05,0.4745321571826935,432.7080383300781,495.48834228515625,0.052239734679460526,428.1856994628906,2.693483591079712,0.42851775884628296,425.0582580566406,486.66131591796875,0.03417709097266197
4,434.74957275390625,2.6005632877349854,9.999999747378752e-05,0.42792096734046936,431.6099853515625,505.12457275390625,0.046506982296705246,439.8763427734375,3.489541530609131,0.3313305675983429,436.033935546875,509.52099609375,0.05495622754096985
5,434.7041931152344,2.7794477939605713,9.999999747378752e-05,0.3895861506462097,431.8288879394531,513.3716430664062,0.04339609667658806,418.0501403808594,2.7244298458099365,0.40098240971565247,414.9241638183594,495.7901306152344,0.02828567661345005
6,434.5230712890625,2.9458634853363037,9.999999747378752e-05,0.35747063159942627,431.46551513671875,520.6119995117188,0.04248897731304169,424.9834289550781,3.107419490814209,0.3258710205554962,421.5383605957031,507.9117736816406,0.043058350682258606
7,434.980224609375,3.1306066513061523,9.999999747378752e-05,0.3270527422428131,431.43768310546875,527.5333862304688,0.042994461953639984,422.1118469238281,3.330944299697876,0.309917151927948,418.46380615234375,513.2817993164062,0.04181752726435661
8,435.8900146484375,3.3306896686553955,9.999999747378752e-05,0.2986200153827667,432.4344177246094,533.9931030273438,0.04385330155491829,419.12725830078125,3.542991876602173,0.30473068356513977,415.2725524902344,519.4940185546875,0.039436329156160355
9,437.50091552734375,3.5023927688598633,9.999999747378752e-05,0.27157703042030334,433.6753845214844,539.99169921875,0.04525526612997055,418.5827331542969,3.470311403274536,0.27471983432769775,414.8319396972656,520.4917602539062,0.04083649069070816
10,439.5377502441406,3.719670057296753,9.999999747378752e-05,0.24364051222801208,435.39508056640625,545.1203002929688,0.04592940956354141,414.7761535644531,3.715034008026123,0.26750659942626953,410.7949523925781,522.9631958007812,0.03273528441786766
11,442.1067810058594,3.9588840007781982,9.999999747378752e-05,0.21421243250370026,437.877685546875,549.1871948242188,0.04654911160469055,416.45953369140625,4.053476333618164,0.23543868958950043,412.16949462890625,528.5100708007812,0.04038802534341812
12,445.1383056640625,4.220907688140869,9.999999747378752e-05,0.18577371537685394,440.6009521484375,552.6255493164062,0.04661857336759567,417.87542724609375,4.220452785491943,0.19986219704151154,413.44921875,528.3554077148438,0.042624056339263916
13,448.5757751464844,4.451344013214111,9.999999747378752e-05,0.1577720046043396,443.92242431640625,554.8192749023438,0.04646235704421997,416.7839660644531,4.530880928039551,0.17813271284103394,412.0674743652344,527.7056884765625,0.03838063403964043
14,452.2089538574219,4.695835590362549,9.999999747378752e-05,0.13280420005321503,447.5042724609375,556.9810180664062,0.04631625488400459,417.3687744140625,4.774704456329346,0.17201116681098938,412.41583251953125,532.0585327148438,0.03350130468606949
15,454.88726806640625,4.896859169006348,9.999999747378752e-05,0.11320605129003525,449.9109191894531,558.4556274414062,0.04590602219104767,418.26556396484375,5.063607692718506,0.14427310228347778,413.04376220703125,531.7041625976562,0.037202998995780945
16,455.8121032714844,5.0311055183410645,4.999999873689376e-05,0.10004011541604996,450.6046142578125,558.8978271484375,0.04483502730727196,417.0595397949219,5.066162109375,0.13744710385799408,411.84136962890625,532.3384399414062,0.037214070558547974
17,456.42926025390625,5.150084972381592,4.999999873689376e-05,0.09123917669057846,451.1156005859375,560.2365112304688,0.04426621273159981,419.0760498046875,5.108447551727295,0.11648852378129959,413.83441162109375,530.0917358398438,0.036922335624694824
18,456.779296875,5.245208263397217,4.999999873689376e-05,0.08523892611265182,451.3968505859375,562.002685546875,0.043990664184093475,419.51947021484375,5.313159942626953,0.1072140634059906,414.08441162109375,530.8546752929688,0.0342632532119751
19,456.78399658203125,5.299034118652344,4.999999873689376e-05,0.08016674965620041,451.5026550292969,563.0444946289062,0.04339201748371124,419.72900390625,5.363047122955322,0.10236266255378723,414.2427978515625,533.8945922851562,0.03667605668306351
