epoch,kl_loss,learning_rate,recon_loss,total_loss,val_kl_loss,val_recon_loss,val_total_loss
0,8.295573234558105,9.999999747378752e-05,458.8778076171875,467.1733703613281,11.67182731628418,398.3196105957031,409.9913330078125
1,14.761847496032715,9.999999747378752e-05,391.19671630859375,405.95849609375,17.396699905395508,374.1435241699219,391.5402526855469
2,18.447113037109375,9.999999747378752e-05,378.58795166015625,397.0355529785156,21.097309112548828,362.3029479980469,383.40020751953125
3,21.300777435302734,9.999999747378752e-05,370.6992492675781,391.9998474121094,23.20606231689453,355.6836242675781,378.8896789550781
4,23.31342124938965,9.999999747378752e-05,365.4505920410156,388.7636413574219,24.74168586730957,349.81591796875,374.55767822265625
5,24.483842849731445,9.999999747378752e-05,362.3907470703125,386.8741760253906,25.875085830688477,347.83612060546875,373.71112060546875
6,25.378938674926758,9.999999747378752e-05,360.1238098144531,385.5029296875,26.005226135253906,345.4330139160156,371.4383239746094
7,26.064889907836914,9.999999747378752e-05,358.2498474121094,384.3144226074219,26.93651580810547,342.4359436035156,369.3724060058594
8,26.980369567871094,9.999999747378752e-05,356.18963623046875,383.1694030761719,27.477073669433594,341.1917419433594,368.6688537597656
9,27.828025817871094,9.999999747378752e-05,354.7936096191406,382.6217041015625,28.82290267944336,340.3517150878906,369.1745300292969
10,28.08563232421875,9.999999747378752e-05,353.5333251953125,381.619140625,28.85840606689453,337.5787048339844,366.4371643066406
11,28.765987396240234,9.999999747378752e-05,352.8224792480469,381.58868408203125,29.257266998291016,336.5141906738281,365.7714538574219
