epoch,kl_loss,learning_rate,recon_loss,total_loss,val_kl_loss,val_recon_loss,val_total_loss
0,8.281947135925293,9.999999747378752e-05,466.7944641113281,475.0759582519531,12.062271118164062,398.7154846191406,410.77783203125
1,14.128368377685547,9.999999747378752e-05,394.6435546875,408.7716979980469,17.244443893432617,375.83197021484375,393.0763854980469
2,18.102529525756836,9.999999747378752e-05,381.0469665527344,399.1496887207031,20.607654571533203,364.8593444824219,385.4671325683594
3,21.22804832458496,9.999999747378752e-05,372.247802734375,393.4755859375,22.985519409179688,356.5274963378906,379.5129699707031
4,23.18296241760254,9.999999747378752e-05,366.8308410644531,390.0138854980469,24.746604919433594,350.67626953125,375.42279052734375
5,24.846736907958984,9.999999747378752e-05,362.48443603515625,387.3311462402344,26.104610443115234,347.3972473144531,373.5020751953125
6,26.049819946289062,9.999999747378752e-05,359.572265625,385.6220397949219,26.928791046142578,343.7305908203125,370.659423828125
7,26.95789337158203,9.999999747378752e-05,357.2412109375,384.19927978515625,27.79488182067871,342.15142822265625,369.9463195800781
8,27.609954833984375,9.999999747378752e-05,355.8214111328125,383.43145751953125,28.201215744018555,340.49456787109375,368.69586181640625
9,28.202163696289062,9.999999747378752e-05,354.230224609375,382.43243408203125,29.237686157226562,338.16650390625,367.4041748046875
10,28.744678497314453,9.999999747378752e-05,352.9301452636719,381.6741027832031,29.30771827697754,336.7627258300781,366.07025146484375
11,29.262195587158203,9.999999747378752e-05,351.7873229980469,381.0495910644531,29.96339988708496,335.99853515625,365.96185302734375
12,29.565587997436523,9.999999747378752e-05,350.9876403808594,380.55303955078125,30.20339584350586,335.7732238769531,365.9766845703125
13,29.888813018798828,9.999999747378752e-05,350.30487060546875,380.1940002441406,30.486391067504883,334.9544982910156,365.44085693359375
14,30.144319534301758,9.999999747378752e-05,349.70281982421875,379.8468017578125,30.656339645385742,334.0734558105469,364.7298889160156
15,30.51471710205078,9.999999747378752e-05,348.87445068359375,379.3889465332031,31.132720947265625,332.6023254394531,363.7350158691406
16,31.16769790649414,9.999999747378752e-05,348.27716064453125,379.4450988769531,31.928747177124023,331.9701232910156,363.8987731933594
17,31.439367294311523,9.999999747378752e-05,346.9202880859375,378.3597412109375,31.932647705078125,330.28289794921875,362.2155456542969
18,31.783382415771484,9.999999747378752e-05,346.54608154296875,378.3294982910156,32.15524673461914,329.67401123046875,361.8291931152344
19,31.91973876953125,9.999999747378752e-05,345.9682312011719,377.88775634765625,32.30522918701172,329.1707458496094,361.47607421875
20,32.00453186035156,9.999999747378752e-05,345.603515625,377.6082458496094,32.67359924316406,329.0057067871094,361.6790466308594
21,32.38654708862305,9.999999747378752e-05,345.33367919921875,377.72027587890625,32.72429275512695,327.9620056152344,360.6863098144531
22,32.42144012451172,9.999999747378752e-05,344.6910705566406,377.11273193359375,32.68403244018555,327.8035583496094,360.4875183105469
23,32.5831413269043,9.999999747378752e-05,344.3851013183594,376.96826171875,33.14621353149414,328.2585144042969,361.4046936035156
24,32.7403564453125,9.999999747378752e-05,343.9972839355469,376.73773193359375,33.33625030517578,327.0995788574219,360.4358825683594
25,32.989444732666016,9.999999747378752e-05,343.8675537109375,376.857177734375,33.83924865722656,327.1250305175781,360.9643249511719
26,33.10875701904297,9.999999747378752e-05,343.3409118652344,376.4498291015625,32.91830062866211,326.15887451171875,359.0772705078125
27,33.1614990234375,9.999999747378752e-05,343.108642578125,376.270263671875,33.49462127685547,328.0295104980469,361.5240783691406
28,33.30210494995117,9.999999747378752e-05,343.0073547363281,376.30926513671875,33.353790283203125,325.67529296875,359.02911376953125
29,33.46018600463867,9.999999747378752e-05,342.9088439941406,376.3690185546875,34.16597366333008,326.7784118652344,360.94439697265625
30,33.455833435058594,9.999999747378752e-05,342.4669189453125,375.92279052734375,33.89063262939453,324.6687927246094,358.5592956542969
31,33.60831069946289,9.999999747378752e-05,342.1237487792969,375.73193359375,33.87007141113281,324.6839599609375,358.5539855957031
32,33.751869201660156,9.999999747378752e-05,341.8049011230469,375.5568542480469,34.36594009399414,324.25372314453125,358.61968994140625
33,34.045692443847656,9.999999747378752e-05,341.6933288574219,375.7392883300781,34.79750061035156,323.50628662109375,358.3038635253906
34,34.1574592590332,9.999999747378752e-05,341.1266174316406,375.28369140625,34.16250991821289,323.4941101074219,357.65667724609375
35,34.257781982421875,9.999999747378752e-05,340.8112487792969,375.0688781738281,35.195804595947266,323.0890197753906,358.2847595214844
36,34.47063446044922,9.999999747378752e-05,340.55096435546875,375.02154541015625,35.16069793701172,321.943115234375,357.10382080078125
37,34.61640930175781,9.999999747378752e-05,340.21002197265625,374.82672119140625,34.96775817871094,322.81817626953125,357.7859802246094
38,34.6794319152832,9.999999747378752e-05,339.96380615234375,374.64361572265625,34.979129791259766,322.3064270019531,357.28564453125
39,34.94978332519531,9.999999747378752e-05,339.8289489746094,374.77886962890625,35.5572624206543,321.5000305175781,357.0574035644531
40,35.07011032104492,9.999999747378752e-05,339.34771728515625,374.4180603027344,35.927947998046875,325.55712890625,361.4851379394531
41,35.14019775390625,9.999999747378752e-05,339.29241943359375,374.4325256347656,35.47524642944336,321.4989013671875,356.97406005859375
42,35.275428771972656,9.999999747378752e-05,339.2955322265625,374.5706481933594,35.249427795410156,321.0281066894531,356.2774963378906
43,35.23750305175781,9.999999747378752e-05,339.0160217285156,374.2534484863281,35.71425247192383,320.5202941894531,356.2347106933594
44,35.2684440612793,9.999999747378752e-05,338.761474609375,374.0302429199219,35.815452575683594,320.4687194824219,356.2840881347656
45,35.56027603149414,9.999999747378752e-05,339.1468505859375,374.70709228515625,35.88054275512695,321.5575866699219,357.4382019042969
46,35.43681335449219,9.999999747378752e-05,338.7613220214844,374.1983642578125,35.45124053955078,320.564453125,356.0155944824219
47,35.36928176879883,9.999999747378752e-05,338.4978942871094,373.8670654296875,36.256805419921875,320.4138488769531,356.67059326171875
48,35.45673751831055,9.999999747378752e-05,338.460205078125,373.9171447753906,35.845237731933594,320.3902282714844,356.2355651855469
49,35.46489715576172,9.999999747378752e-05,338.39483642578125,373.85992431640625,36.054298400878906,320.6065979003906,356.6608581542969
